Year,Pool,SVCP,SVCP_Low_95CI,SVCP_Up_95CI,BHCP,BHCP_Low_95CI,BHCP_Up_95CI
2012,Alton,2.039283002,1.90836253,2.170203475,0.428308975,0.400752685,0.455865266
2012,Dresden,0.015848803,0.013983906,0.017713699,0.087247184,0.077346248,0.09714812
2012,LaGrange,1.490031228,1.406589942,1.573472514,0.326296145,0.308597778,0.343994511
2012,Marseilles,0.108211325,0.094770707,0.121651944,0.074750636,0.064519824,0.084981447
2012,Peoria,3.519422524,3.016737722,4.022107327,0.792846375,0.679313978,0.906378771
2012,Starved Rock,0.978917217,0.842848757,1.114985678,0.316327909,0.275403527,0.357252292
2013,Alton,1.233204381,1.148943381,1.317465381,0.446768181,0.415302157,0.478234206
2013,Dresden,0.009199246,0.007679764,0.010718729,0.051357797,0.042524082,0.060191511
2013,LaGrange,1.426643556,1.329354914,1.523932198,0.450027784,0.419819605,0.480235964
2013,Marseilles,0.165771377,0.125404954,0.2061378,0.056012547,0.036088819,0.075936275
2013,Peoria,1.499482924,1.285533597,1.713432251,0.224825644,0.193881609,0.255769679
2013,Starved Rock,0.534238828,0.474106582,0.594371073,0.108497629,0.09634924,0.120646017
2014,Alton,0.218342866,0.198713346,0.237972386,0.087186467,0.079289444,0.095083491
2014,Dresden,0.012383109,0.010575958,0.01419026,0.020530019,0.017586044,0.023473993
2014,LaGrange,0.330546032,0.301980429,0.359111635,0.167362661,0.152951207,0.181774116
2014,Marseilles,0.198699136,0.17862869,0.218769581,0.103091453,0.090511525,0.11567138
2014,Peoria,0.612977108,0.485173425,0.740780792,0.438008363,0.342445332,0.533571394
2014,Starved Rock,0.478686267,0.423172859,0.534199674,0.18257228,0.161465234,0.203679325
2015,Alton,0.840793772,0.747107166,0.934480378,0.210987155,0.183348187,0.238626123
2015,Dresden,0.013908472,0.011167421,0.016649522,0.02769381,0.022086237,0.033301383
2015,LaGrange,0.889756109,0.787970169,0.99154205,0.136305746,0.119506399,0.153105093
2015,Marseilles,0.200563943,0.185674608,0.215453277,0.125747462,0.111261033,0.14023389
2015,Peoria,0.625060947,0.489684726,0.760437167,0.450018696,0.353871944,0.546165448
2015,Starved Rock,0.480636616,0.414733637,0.546539596,0.386069809,0.333142202,0.438997416
2016,Dresden,0.028875246,0.025408427,0.032342065,0.021317074,0.018756621,0.023877527
2016,Marseilles,0.090998235,0.08632367,0.095672801,0.0336388,0.031836465,0.035441134
2016,Starved Rock,0.21918178,0.172534777,0.265828782,0.070493512,0.056891648,0.084095375
2016,Alton,0.384996654,0.313540926,0.456452382,0.068270218,0.054792663,0.081747773
2016,LaGrange,0.819346183,0.744287476,0.894404889,0.145658171,0.132214641,0.1591017
2016,Peoria,0.554365176,0.503970655,0.604759697,0.0456263,0.041826538,0.049426063
2017,Alton,0.268003962,0.24502117,0.290986755,0.074335774,0.067898125,0.080773423
2017,LaGrange,0.765911514,0.641376832,0.890446195,0.134909588,0.110958863,0.158860313
2017,Peoria,0.47268891,0.431608333,0.513769486,0.05904254,0.053827226,0.064257855
2017,Starved Rock,0.222000932,0.19671916,0.247282703,0.024408133,0.021489714,0.027326552
2017,Marseilles,0.105390047,0.099647543,0.11113255,0.033664171,0.031754344,0.035573998
2017,Dresden,0.003834742,0.003237265,0.004432219,0.002425705,0.001995005,0.002856405
2018,Alton,NA,NA,NA,NA,NA,NA
2018,LaGrange,NA,NA,NA,NA,NA,NA
2018,Peoria,NA,NA,NA,NA,NA,NA
2018,Starved Rock,0.158402605,0.130999441,0.185805769,0.023878678,0.01958956,0.028167797
2018,Marseilles,0.132997095,0.127732472,0.138261717,0.002738078,0.002629158,0.002846999
2018,Dresden,0.002231382,0.001346335,0.003116428,0.001735289,0.000952686,0.002517893
2019,Alton,0.068249319,0.054395427,0.082103211,0.013991383,0.011386827,0.016595938
2019,LaGrange,0.119903541,0.106594621,0.133212462,0.023787237,0.021092933,0.026481541
2019,Peoria,0.083636909,0.076163519,0.091110298,0.091966924,0.083222678,0.100711171
2019,Starved Rock,0.15073539,0.120451759,0.181019021,0.053019928,0.037475003,0.068564854
2019,Marseilles,0.047833566,0.045336436,0.050330697,0.016516693,0.015644412,0.017388974
2019,Dresden,0.001462444,0.000935588,0.001989299,0.001900107,0.001251642,0.002548572
2020,Alton,0.450917898,0.405551476,0.496284321,0.075686073,0.066323593,0.085048552
2020,LaGrange,0.345385624,0.320555636,0.370215612,0.008919712,0.008258461,0.009580963
2020,Peoria,0.244276087,0.224835739,0.263716434,0.035103797,0.032343887,0.037863707
2020,Starved Rock,0.452391606,0.38374463,0.521038583,0.139355948,0.118844459,0.159867437
2020,Marseilles,0.057780052,0.050950803,0.0646093,0.004668534,0.00408947,0.005247598
2020,Dresden,0.002581005,0.001752062,0.003409948,0.002902454,0.001970271,0.003834637
2021,Alton,0.151285866,0.133087585,0.169484147,0.000359105,0.0003145,0.00040371
2021,LaGrange,0.176984763,0.156315918,0.197653609,0.01013211,0.008866868,0.011397352
2021,Peoria,0.484914173,0.404248322,0.565580025,0,0,0
2021,Starved Rock,0.326212748,0.279284577,0.373140918,0,0,0
2021,Marseilles,0.056834428,0.053956921,0.059711935,0,0,0
2021,Dresden,0.008394686,0.006362346,0.010427025,0,0,0
2022,Alton,0.203371331,0.174579558,0.232163103,0.003356268,0.002914031,0.003798504
2022,LaGrange,0.111487413,0.099450841,0.123523985,0,0,0
2022,Peoria,0.158342198,0.138640625,0.178043771,0.004961343,0.004225485,0.005697201
2022,Starved Rock,0.254003985,0.216541438,0.291466533,0,0,0
2022,Marseilles,0.03022895,0.027085852,0.033372048,0,0,0
2022,Dresden,0.014965689,0.012012481,0.017918896,0,0,0